,ticker,quarter,year,pte,ptb,roe,roa,epsChange,bookValuePerShareChange,payableOnEquity,equityOnAsset,potentialScore,riskScore,potential
109,HPG,3,2019,0.37,0.18181818181818182,0.174,0.088,-0.081,0.04,0.7692307692307694,0.471,0.4202049819313471,0.579795018068653,0.0
110,HPG,2,2019,0.36000000000000004,0.2272727272727272,0.199,0.103,-0.02,0.048,0.7692307692307694,0.474,0.6266579237659674,0.3733420762340327,1.0
111,HPG,1,2019,0.38999999999999996,0.3181818181818182,0.214,0.117,-0.048,0.039,0.6923076923076924,0.495,0.6372247625938984,0.3627752374061017,1.0
112,HPG,4,2018,0.32,0.3181818181818182,0.236,0.131,-0.069,0.041,0.6153846153846155,0.517,0.6776270539889144,0.3223729460110856,1.0
113,HPG,3,2018,0.52,0.6363636363636362,0.267,0.155,0.029,0.066,0.5384615384615385,0.555,0.616787337024321,0.383212662975679,1.0
114,HPG,2,2018,0.4600000000000001,0.5909090909090909,0.301,0.176,0.079,0.064,0.46153846153846156,0.588,0.616509901813354,0.38349009818664614,1.0
115,HPG,1,2018,0.6500000000000001,0.7727272727272727,0.298,0.181,0.035,0.063,0.3846153846153847,0.63,0.5858100192680016,0.41418998073199853,1.0
116,HPG,4,2017,0.43,0.5454545454545455,0.308,0.186,0.059,0.075,0.3846153846153847,0.609,0.5014328303432924,0.4985671696567076,1.0
117,HPG,3,2017,0.32999999999999996,0.4545454545454545,0.315,0.197,0.076,0.315,0.3846153846153847,0.621,0.6205105382082007,0.3794894617917993,1.0
118,HPG,2,2017,0.24000000000000005,0.5454545454545455,0.349,0.209,-0.065,0.072,0.46153846153846156,0.576,0.6093288803008209,0.39067111969917906,1.0
119,HPG,1,2017,0.12999999999999998,0.5,0.409,0.241,0.138,0.079,0.46153846153846156,0.576,0.5470106079096799,0.45298939209032,1.0
120,HPG,4,2016,0.17,0.5,0.386,0.225,0.265,0.099,0.46153846153846156,0.594,0.29670437196914934,0.7032956280308507,0.0
121,HPG,3,2016,0.38,0.6363636363636362,0.326,0.197,0.123,0.029,0.3846153846153847,0.631,-0.3035318478768082,1.303531847876808,0.0
122,HPG,2,2016,0.22999999999999998,0.40909090909090906,0.304,0.183,0.204,0.131,0.3846153846153847,0.63,0.022930108565467684,0.9770698914345324,0.0
123,HPG,1,2016,0.16000000000000006,0.2727272727272727,0.278,0.163,0.107,0.068,0.3846153846153847,0.606,0.16686301036406556,0.8331369896359344,0.0
124,HPG,4,2015,0.22000000000000003,0.3181818181818182,0.265,0.146,0.027,0.029,0.5384615384615385,0.566,0.21199795019884698,0.7880020498011531,0.0
125,HPG,3,2015,0.27,0.3636363636363636,0.266,0.149,0.054,0.082,0.46153846153846156,0.571,,,1.0
126,HPG,2,2015,0.27,0.3636363636363636,0.271,0.149,0.101,0.06,0.46153846153846156,0.565,,,1.0
127,HPG,1,2015,0.32999999999999996,0.40909090909090906,0.258,0.134,-0.07,0.038,0.5384615384615385,0.559,,,1.0
128,TCB,4,2022,0.0,0.0,0.197,0.032,-0.049,0.032,0.07936507936507936,0.162,,,1.0
129,TCB,3,2022,0.07500000000000007,0.13333333333333333,0.216,0.035,0.047,0.052,0.0634920634920634,0.164,,,1.0
130,TCB,2,2022,0.17500000000000004,0.26666666666666666,0.217,0.036,0.057,0.06,0.047619047619047596,0.167,,,1.0
131,TCB,1,2022,0.5375,0.6666666666666667,0.217,0.036,0.061,0.059,0.07936507936507936,0.16,,,1.0
132,TCB,4,2021,0.6124999999999999,0.7333333333333334,0.217,0.036,0.037,0.053,0.0634920634920634,0.164,0.6358369881680157,0.3641630118319843,1.0
133,TCB,3,2021,0.65,0.8,0.221,0.037,0.077,0.053,0.0634920634920634,0.163,0.44581050380863296,0.554189496191367,0.0
134,TCB,2,2021,0.8375,0.9333333333333336,0.215,0.036,0.133,0.061,0.047619047619047596,0.166,0.441733032768344,0.5582669672316559,0.0
135,TCB,1,2021,0.65,0.6666666666666667,0.2,0.033,0.157,0.06,0.03174603174603177,0.171,0.5012487587638793,0.49875124123612063,1.0
136,TCB,4,2020,0.525,0.46666666666666673,0.181,0.03,0.081,0.057,0.03174603174603177,0.17,0.5540595334344152,0.4459404665655849,1.0
137,TCB,3,2020,0.275,0.20000000000000007,0.177,0.03,0.05,0.047,0.0,0.176,0.628925700980461,0.3710742990195391,1.0
138,TCB,2,2020,0.1875,0.13333333333333333,0.176,0.029,0.039,0.044,0.03174603174603177,0.17,0.6993905353728489,0.30060946462715105,1.0
