,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
608,2020-12-01,24500.0,0.181,0.03,3504.0,21214.0,5.9,4.9
609,2020-12-02,25100.0,0.181,0.03,3504.0,21214.0,5.9,4.9
610,2020-12-03,25000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
611,2020-12-04,24800.0,0.181,0.03,3504.0,21214.0,5.9,4.9
612,2020-12-07,25050.0,0.181,0.03,3504.0,21214.0,5.9,4.9
613,2020-12-08,25000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
614,2020-12-09,25750.0,0.181,0.03,3504.0,21214.0,5.9,4.9
615,2020-12-10,25300.0,0.181,0.03,3504.0,21214.0,5.9,4.9
616,2020-12-11,25650.0,0.181,0.03,3504.0,21214.0,5.9,4.9
617,2020-12-14,26200.0,0.181,0.03,3504.0,21214.0,5.9,4.9
618,2020-12-15,26150.0,0.181,0.03,3504.0,21214.0,5.9,4.9
619,2020-12-16,27950.0,0.181,0.03,3504.0,21214.0,5.9,4.9
620,2020-12-17,28350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
621,2020-12-18,29200.0,0.181,0.03,3504.0,21214.0,5.9,4.9
622,2020-12-21,29400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
623,2020-12-22,29200.0,0.181,0.03,3504.0,21214.0,5.9,4.9
624,2020-12-23,28700.0,0.181,0.03,3504.0,21214.0,5.9,4.9
625,2020-12-24,27950.0,0.181,0.03,3504.0,21214.0,5.9,4.9
626,2020-12-25,29550.0,0.181,0.03,3504.0,21214.0,5.9,4.9
627,2020-12-28,29700.0,0.181,0.03,3504.0,21214.0,5.9,4.9
628,2020-12-29,29750.0,0.181,0.03,3504.0,21214.0,5.9,4.9
629,2020-12-30,29900.0,0.181,0.03,3504.0,21214.0,5.9,4.9
630,2020-12-31,31500.0,0.181,0.03,3504.0,21214.0,5.9,4.9
631,2021-01-04,33000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
632,2021-01-05,33050.0,0.2,0.033,4055.0,22487.0,5.9,4.9
633,2021-01-06,33200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
634,2021-01-07,34600.0,0.2,0.033,4055.0,22487.0,5.9,4.9
635,2021-01-08,35700.0,0.2,0.033,4055.0,22487.0,5.9,4.9
636,2021-01-11,35250.0,0.2,0.033,4055.0,22487.0,5.9,4.9
637,2021-01-12,35100.0,0.2,0.033,4055.0,22487.0,5.9,4.9
638,2021-01-13,35150.0,0.2,0.033,4055.0,22487.0,5.9,4.9
639,2021-01-14,35750.0,0.2,0.033,4055.0,22487.0,5.9,4.9
640,2021-01-15,36850.0,0.2,0.033,4055.0,22487.0,5.9,4.9
641,2021-01-18,36200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
642,2021-01-19,33900.0,0.2,0.033,4055.0,22487.0,5.9,4.9
643,2021-01-20,34500.0,0.2,0.033,4055.0,22487.0,5.9,4.9
644,2021-01-21,36200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
645,2021-01-22,36300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
646,2021-01-25,35800.0,0.2,0.033,4055.0,22487.0,5.9,4.9
647,2021-01-26,35000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
648,2021-01-27,33500.0,0.2,0.033,4055.0,22487.0,5.9,4.9
649,2021-01-28,31200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
